108.31,108.83,108.23,108.24,109.13,109.32,108.97,108.67,109.08,108.8,108.76,108.89,109.07,108.11,108.79,108.86,108.85,105.28,108.81,109.27,
108.77,108.51,108.37,109.11,109.0,109.09,108.93,108.7,109.07,108.51,109.33,109.16,108.51,109.29,109.27,108.93,108.85,108.4,109.23,108.87,
108.38,109.2,108.81,109.41,108.68,109.67,109.06,108.98,109.24,109.37,108.48,108.75,109.16,105.36,109.36,108.9,109.47,105.33,108.81,104.26,
109.06,109.34,108.5,108.8,108.76,108.9,109.13,108.75,109.52,108.98,108.89,108.85,109.32,104.22,109.27,109.2,109.25,109.09,108.53,109.14,
105.31,108.85,108.67,109.31,109.09,108.93,109.25,109.01,109.09,109.01,109.3,108.44,109.1,108.94,108.88,108.58,109.01,107.22,108.9,108.93,
108.53,109.3,109.33,109.28,108.89,109.06,108.86,108.88,109.28,108.96,109.33,108.87,109.26,109.31,109.33,109.48,109.08,109.01,108.9,109.07,
109.17,109.16,108.91,108.58,109.39,108.83,109.07,108.97,109.48,109.31,108.99,109.14,108.54,108.54,109.28,108.9,109.56,109.43,109.21,108.97,
109.22,108.76,109.09,109.4,109.02,108.91,108.95,109.57,108.96,108.92,109.3,108.18,108.8,109.02,108.45,108.72,109.2,109.31,108.51,108.86,
109.59,109.27,108.91,109.28,109.11,104.24,109.27,109.23,109.03,108.92,109.02,108.86,109.18,108.98,108.46,108.77,108.87,108.87,108.8,109.29,
109.56,109.33,108.59,108.9,108.99,108.86,109.59,109.28,109.46,108.81,109.06,108.38,109.03,108.83,105.38,108.63,109.35,109.48,109.32,109.21,
109.0,109.0,109.43,109.29,108.74,109.44,108.45,109.03,109.06,108.94,108.82,108.76,108.41,106.6,108.87,109.06,108.84,108.83,109.21,108.87,
109.49,109.02,108.49,108.9,108.54,109.0,109.06,108.94,109.23,108.71,109.22,109.4,109.13,109.14,109.51,109.17,108.32,109.46,108.43,109.55,
105.4,109.51,108.96,108.57,109.25,109.04,109.08,109.2,109.26,108.96,109.07,108.96,109.34,109.18,109.16,108.87,109.05,108.5,109.37,109.27,
109.43,109.42,109.27,109.53,109.49,109.16,109.61,109.41,108.4,109.55,109.62,109.34,109.29,109.11,108.84,109.35,109.25,103.99,109.24,109.56,
109.41,108.68,109.15,108.27,108.96,108.88,108.28,108.94,108.94,109.04,109.54,108.92,109.0,109.37,108.62,109.14,108.92,109.19,109.05,109.24,
